Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2001-020,(2) Predevelopment Feasibility,Folsom + Dore Apartments,1346,Folsom,St,94103,3518,45,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,03/15/2022,,,03/15/2022,03/01/2025,Tenderloin Neighborhood Development Corporation (TNDC),,,2020-009363PRJ,2020-009363PRJ (http://propertymap.sfplanning.org/?search=2020-009363PRJ),,,,202010136358,98,98,0,100,0,33,57,8,0,0,0,,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.773558,-122.412275,"(37.773558, -122.412275)"
2019-036,(4) Site Work Permit Issued,919 Illinois (Pier 70 Parcel K North),919,Illinois,St,94107,4110,12,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,11/20/2021,,,,,2019-017002PHA,2019-017002PHA (http://propertymap.sfplanning.org/?search=2019-017002PHA),,11/22/2019,Fee Payment,201911258098,245,0,245,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.760332,-122.3873637,"(37.760332, -122.3873637)"
2016-017,(4) Site Work Permit Issued,"Block 48, Phase 3 (Blocks H, I, K, L)",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,03/01/2022,,,03/01/2022,09/01/2023,,,,Not Applicable,,,,,,70,10,60,14,0,0,6,4,0,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,37.7282288,-122.3791714,"(37.7282288, -122.3791714)"
2019-007,(3) Design with Entitlements Approved,400-444 Divisadero St; 1048-1062 Oak St,400,Divisadero,St,94117,1216,"004, 017",5,Haight Ashbury,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,05/21/2021,,Genesis CA Development LLC,,,2015-007816PRJ,2015-007816PRJ (http://propertymap.sfplanning.org/?search=2015-007816PRJ),,05/23/2019,On-site BMR Project,201912179800,184,37,147,20,0,18,4,15,0,0,0,,0,0,0,37,0,0,0,0,0,0,0,0,0,0,23,0,7,0,0,0,7,0,0,0,0,37.7730766,-122.4372683,"(37.7730766, -122.4372683)"
2018-016,(5) First Construction Document Issued,2750 19th St,2750,19th,St,94110,4023,004A,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,04/15/2020,07/21/2021,08/21/2020,,,,,2014-001400ENX,2014-001400ENX (http://propertymap.sfplanning.org/?search=2014-001400ENX),,08/23/2018,On-site BMR Project,201712156665,60,11,49,18,0,0,6,5,0,0,0,,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,37.7608043,-122.4097826,"(37.7608043, -122.4097826)"
2017-011,(4) Site Work Permit Issued,555 Howard,555,Howard,St,94105,3736,86,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,05/29/2019,,Pacific Howard Corporation,,,2015-008058PRJ,2015-008058PRJ (http://propertymap.sfplanning.org/?search=2015-008058PRJ),"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",03/02/2017,On-site BMR Project,201612275918,69,10,59,14,0,0,3,5,2,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37.7874206,-122.3969444,"(37.7874206, -122.3969444)"
2022-011,(3) Design with Entitlements Approved,5250 3rd St,5250,3rd,St,94124,5411,10,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,06/14/2024,,,,,2021-010017AHB,2021-010017AHB (http://propertymap.sfplanning.org/?search=2021-010017AHB),,06/16/2022,On-site BMR Project,202212097985,100,30,70,30,0,5,12,6,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,10,0,0,0,0,37.73,-122.39277,"(37.73, -122.39277)"
2017-040,(5) First Construction Document Issued,Shirley Chisholm Village,1360,43rd,Ave,94122,1797,7,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,08/01/2022,,Mid-Pen Housing,,,2018-015768PRJ,2018-015768PRJ (http://propertymap.sfplanning.org/?search=2018-015768PRJ),,,Exempt Project,201912099009,135,134,1,99,0,24,43,59,9,0,0,,22,1,2bd,134,0,0,0,0,0,0,0,0,8,12,0,14,33,0,34,0,0,33,0,0,0,37.7616533,-122.5020449,"(37.7616533, -122.5020449)"
2021-005,(5) First Construction Document Issued,4742 Mission,4742,Mission,St,94112,956,"004, 005",11,Outer Mission,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,08/31/2022,12/05/2022,03/03/2023,04/26/2025,,,,2019-012820PRJ,2019-012820PRJ (http://propertymap.sfplanning.org/?search=2019-012820PRJ),,03/04/2021,On-site BMR Project,201912139512,46,11,35,24,0,4,0,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,0,0,0,0,37.7222992,-122.4369699,"(37.7222992, -122.4369699)"
2016-089,(2) Predevelopment Feasibility,Transbay Block 2 East,,,,94105,,,6,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,05/01/2024,,,05/01/2024,05/15/2026,,,,,,,,,,184,182,2,99,0,17,76,54,37,0,0,,28,2,2bd,142,0,0,40,0,40,0,0,30,14,32,0,68,37,0,0,0,0,0,0,0,0,37.78940059,-122.3924064,"(37.78940059, -122.3924064)"
2020-010,(2) Predevelopment Feasibility,725 Harrison (Land Dedication Site),725,Harrison,St,94107,3762,"108, 109, 117",6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/01/2026,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,201911157380,144,144,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7818362,-122.3980566,"(37.7818362, -122.3980566)"
2020-034,(4) Site Work Permit Issued,30 Van Ness,30,Van Ness,Ave,94102,835,4,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,08/25/2021,,,,,,,2017-008051PRJ,2017-008051PRJ (http://propertymap.sfplanning.org/?search=2017-008051PRJ),,,On-site BMR Project,201912139539,333,83,250,25,0,7,24,40,12,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,17,0,0,33,0,0,37.7759792,-122.4192044,"(37.7759792, -122.4192044)"
2016-117,(5) First Construction Document Issued,The Vance,830,Eddy,St,94109,738,18,2,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,09/07/2018,,03/08/2019,,Build Inc,,,2015-009460PRJ,2015-009460PRJ (http://propertymap.sfplanning.org/?search=2015-009460PRJ),,12/08/2016,On-site BMR Project,201612285985,137,20,117,15,0,0,0,0,0,0,0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,37.7830684,-122.4216406,"(37.7830684, -122.4216406)"
2019-014,(2) Predevelopment Feasibility,Laguna Honda Hospital Senior Housing,375,Laguna Honda,Blvd,94131,2842,7,7,Twin Peaks,Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Mercy Housing CA,,,,  (http://propertymap.sfplanning.org/?search=),,,,,265,263,2,99,0,208,55,2,0,0,0,,0,2,2bd,0,263,0,0,0,0,0,0,0,0,190,0,73,0,0,0,0,0,0,0,0,0,37.7490717,-122.4568765,"(37.7490717, -122.4568765)"
2009-002,(5) First Construction Document Issued,180 Jones / 181 Turk,180,Jones,St,94102,343,14,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,03/09/2016,,Eddie Tsang,,,2005.0267,2005.0267 (http://propertymap.sfplanning.org/?search=2005.0267),"2005.0267C,2005.0267E,2005.0267K,2005.0267V",03/05/2009,On-site BMR Project,202004307276,37,4,33,11,0,0,2,2,0,0,0,,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,37.78312308,-122.4122308,"(37.78312308, -122.4122308)"
2018-001,(4) Site Work Permit Issued,1965 Market,1965,Market,St,94103,3534,58,8,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,07/11/2019,,01/17/2020,,Keller Grover Properties,,,2015-002825PRJ,2015-002825PRJ (http://propertymap.sfplanning.org/?search=2015-002825PRJ),"2015-002825CUA,2015-002825ENV,2015-002825PPA",01/18/2018,On-site BMR Project,201806081368,96,14,82,15,0,0,8,6,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,14,37.7694681,-122.4259604,"(37.7694681, -122.4259604)"
2015-038,(3) Design with Entitlements Approved,525 Harrison,525,Harrison,St,94105,3764,63,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,09/22/2017,,Hines Interests Ltd.,,,2013.0159,2013.0159 (http://propertymap.sfplanning.org/?search=2013.0159),"2013.0159E,2013.0159T,2013.0159U,2013.0159X,2013.0159Z",09/24/2015,On-site BMR Project,201406188773,205,25,180,12,0,5,9,11,0,0,0,,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,37.7853948,-122.393365,"(37.7853948, -122.393365)"
2018-008,(4) Site Work Permit Issued,600 Van Ness,,,,94102,,,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,06/03/2019,,,,,,2015-012729PRJ (http://propertymap.sfplanning.org/?search=2015-012729PRJ),,,,,168,24,144,14,0,11,8,5,0,0,0,,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,37.781355,-122.420092,"(37.781355, -122.420092)"
2016-083,(4) Site Work Permit Issued,98 Pennsylvania,98,Pennsylvania,Ave,94107,3948,2,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,12/05/2018,,06/05/2019,,Ciaran & Patrick Harty,,,2020-010275PRJ,2020-010275PRJ (http://propertymap.sfplanning.org/?search=2020-010275PRJ),,03/02/2023,On-site BMR Project; Fee Payment,201612235806,64,9,55,14,0,2,3,3,1,0,0,,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,2,0,0,0,0,37.7653983,-122.3941948,"(37.7653983, -122.3941948)"
2017-054,(5) First Construction Document Issued,1900 Mission,1900,Mission,St,94103,3554,1,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,09/19/2019,08/30/2021,03/19/2020,10/24/2023,,,,2013.133,2013.1330 (http://propertymap.sfplanning.org/?search=2013.1330),,12/06/2017,On-site BMR Project,201507080963,12,1,11,8,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.7665747,-122.4201299,"(37.7665747, -122.4201299)"
2021-020,(3) Design with Entitlements Approved,474-484 Haight,474-484,Haight,St,94117,,,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,,,,,,,2016-013012PRJ (http://propertymap.sfplanning.org/?search=2016-013012PRJ),,,,,12,0,12,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7723453,-122.4299832,"(37.7723453, -122.4299832)"
2016-133,(2) Predevelopment Feasibility,Transbay Block 4 (Podium),,,,,,,6,Financial District/South Beach,South of Market,OCII,OCII Inclusionary Rental Program,Transbay,New Construction,Rental,,09/01/2023,,,09/01/2023,09/01/2027,,,,Not Applicable,,,,,,202,202,0,100,0,22,75,84,21,0,0,,0,1,2bd,201,0,0,0,0,0,0,0,0,20,20,0,50,60,26,25,0,0,0,0,0,201,37.79000867,-122.393508,"(37.79000867, -122.393508)"
2021-027,(3) Design with Entitlements Approved,850 Bush,850,Bush,St,94108,274,8,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,12/15/2023,,,,,2015-005983PRJ,2015-005983PRJ (http://propertymap.sfplanning.org/?search=2015-005983PRJ),,12/16/2021,On-site BMR Project,200512301345,21,3,18,14,0,0,1,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.7900163,-122.4113662,"(37.7900163, -122.4113662)"
1982-009,(5) First Construction Document Issued,Swiss American Hotel,,,,94133,,,3,North Beach,North Beach,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,12/01/2017,,,12/01/2017,06/30/2019,Chinatown Community Development Center,,Chinatown Community Development Center,2016-013224PRJ,2016-013224PRJ (http://propertymap.sfplanning.org/?search=2016-013224PRJ),,,,,66,65,1,98,65,0,0,0,0,0,0,,0,1,SRO,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,37.7981205,-122.4060914,"(37.7981205, -122.4060914)"
2023-009,(2) Predevelopment Feasibility,249 Pennsylvania Family,249,Pennsylvania,Ave,94107,3999,15,10,Potrero Hill,Potrero Hill,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Tenderloin Neighborhood Development Corporation (TNDC),Young Community Developers,,,  (http://propertymap.sfplanning.org/?search=),,,,,120,119,1,99,0,0,0,0,0,0,0,,0,1,0,59,0,0,60,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7633284,-122.3933872,"(37.7633284, -122.3933872)"
2020-025,(4) Site Work Permit Issued,4128 3rd St,4128,3rd,St,94124,5260,36,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Bayview Hunters Point,New Construction,Ownership,,,06/29/2020,,04/06/2025,,,,,,  (http://propertymap.sfplanning.org/?search=),,04/07/2020,On-site BMR Project,201908068085,8,1,7,13,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.7399584,-122.3891717,"(37.7399584, -122.3891717)"
2019-002,(3) Design with Entitlements Approved,820 Post St,,,,94109,,,3,Nob Hill,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,02/19/2021,,,,,2016-015997PRJ,2016-015997PRJ (http://propertymap.sfplanning.org/?search=2016-015997PRJ),,,,,12,1,11,8,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37.7875904,-122.4154684,"(37.7875904, -122.4154684)"
2018-041,(4) Site Work Permit Issued,1075-1089 Folsom,1075,Folsom,St,94103,3754,"038, 039",6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/19/2020,,,,,2016-008438PRJ,2016-008438PRJ (http://propertymap.sfplanning.org/?search=2016-008438PRJ),,,,,48,12,36,25,0,12,0,0,0,0,0,,0,0,0,12,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,3,0,0,0,0,37.776971,-122.4071498,"(37.776971, -122.4071498)"
2015-001,(2) Predevelopment Feasibility,266 4th St (4th and Folsom),266,4th,St,94103,3733,93,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,09/15/2022,,Tenderloin Neighborhood Development Corporation (TNDC),,,2019-014414PRJ,2019-014414PRJ (http://propertymap.sfplanning.org/?search=2019-014414PRJ),,,,201907236649,70,69,1,99,0,29,12,28,0,0,0,,2,1,2bd,69,0,0,35,0,35,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,37.782192,-122.401729,"(37.782192, -122.401729)"
2015-019,(4) Site Work Permit Issued,1000 Mississippi,1000,Mississippi,St,94107,4224,"015, 016, 037, 038, 039, 040",10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,04/22/2016,,10/21/2016,,"Heights Properties, LLP",,,2014.1019,2014.1019 (http://propertymap.sfplanning.org/?search=2014.1019),,05/14/2015,On-site BMR Project,200705010141,28,3,25,11,0,0,0,3,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.7534083,-122.3937074,"(37.7534083, -122.3937074)"
2018-030,(5) First Construction Document Issued,188 Octavia,188,Octavia,St,94102,853,"022, 034",6,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,09/07/2018,02/27/2019,02/27/2019,,,,,2014.1509,2014.1509 (http://propertymap.sfplanning.org/?search=2014.1509),,,,201610059557,28,4,24,14,0,2,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37.7738331,-122.4237004,"(37.7738331, -122.4237004)"
2023-007,(2) Predevelopment Feasibility,650 Divisadero St,650,Divisadero,St,94117,1202,002B,5,Hayes Valley,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Jonathan Rose Companies,Young Community Developers,,,  (http://propertymap.sfplanning.org/?search=),,,,,95,94,1,99,0,25,17,24,28,0,0,,0,1,0,94,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,37.7757868,-122.4375671,"(37.7757868, -122.4375671)"
2016-001,(7) On-Hold / Planning Approval Expired,111 Jones Street Apartments,111,Jones,St,94102,,,5,Tenderloin,Downtown/Civic Center,SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,11/07/1991,,,,Mercy Housing CA,,111 Jones Associates,Not Applicable,,,,,9114028S,108,108,0,100,0,8,64,16,20,0,0,,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,37.78223,-122.41244,"(37.78223, -122.41244)"
2018-052a,(5) First Construction Document Issued,SFHA Scattered Sites - Noriega,4101,Noriega,St,94122,2085,1,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,02/14/2022,05/11/2022,,02/14/2022,03/01/2023,Mission Housing Development Corporation,,"MHDC New Map, L.P.",2021-008229PRJ,2021-008229PRJ (http://propertymap.sfplanning.org/?search=2021-008229PRJ),,,,202110130352,8,8,0,100,0,0,0,3,3,2,0,,1,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,37.7527242,-122.5077699,"(37.7527242, -122.5077699)"
2016-057,(1) Preliminary Phase,101 Hyde,,,,94102,,,5,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,Not Yet Available,,,,,,85,84,1,99,0,0,0,0,0,0,0,84,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37.7818595,-122.4158888,"(37.7818595, -122.4158888)"
2019-025,(5) First Construction Document Issued,3945 Judah St,3945,Judah,St,94122,1809,23,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,2018-000468PRJ (http://propertymap.sfplanning.org/?search=2018-000468PRJ),,,,201412314770,20,5,15,25,0,0,3,2,0,0,0,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,37.7602689,-122.5045427,"(37.7602689, -122.5045427)"
2011-034,(3) Design with Entitlements Approved,Parkmerced - Phase IC & 1D,3711,19th,Ave,94132,,,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/08/2013,,Maximus,,,2008.0021,2008.0021 (http://propertymap.sfplanning.org/?search=2008.0021),"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,,545,27,518,5,0,0,0,0,0,0,0,27,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37.7205747,-122.4758473,"(37.7205747, -122.4758473)"
2018-031,(5) First Construction Document Issued,2500 Turk St,2500,Turk,St,94118,1107,8,1,Lone Mountain/USF,Inner Richmond,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,03/06/2019,,University of San Francisco,,,2015-000058PRJ,2015-000058PRJ (http://propertymap.sfplanning.org/?search=2015-000058PRJ),,03/15/2018,Exempt Project (student housing),"201611303815, 201611303820",155,0,155,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7792498,-122.4497708,"(37.7792498, -122.4497708)"
2019-018,(3) Design with Entitlements Approved,95 Hawthorne,95,Hawthorne,St,94105,3735,12,6,South of Market,Financial District,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,09/17/2021,,,,,2016-001794PRJ,2016-001794PRJ (http://propertymap.sfplanning.org/?search=2016-001794PRJ),,09/19/2019,,202010015608,392,55,337,14,0,0,28,20,7,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,12,0,0,0,0,37.785042,-122.397942,"(37.785042, -122.397942)"
2020-008,(3) Design with Entitlements Approved,657 Harrison,657,Harrison,St,94107,3763,100,6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,02/18/2022,,,,,2012.1384,2012.1384 (http://propertymap.sfplanning.org/?search=2012.1384),,02/20/2020,Fee Payment,,489,0,489,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7831065,-122.3963301,"(37.7831065, -122.3963301)"
2012-008,(3) Design with Entitlements Approved,1150 16th (AKA 1208 8th),1150,16th,St,94107,3821,9,6,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,04/11/2014,,Sergio Nibbi,,,2004.1004,2004.1004 (http://propertymap.sfplanning.org/?search=2004.1004),"2004.1004C,2004.1004E,2004.1004E_3,2004.1004K,2004.1004S",04/12/2012,On-site BMR Project,201107220909,15,2,13,13,0,0,1,1,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37.7663194,-122.3987953,"(37.7663194, -122.3987953)"
2015-068,(4) Site Work Permit Issued,1298 Valencia,1298,Valencia,St,94110,3633,21,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,01/02/2019,,08/30/2019,,,,,2013.1404,2013.1404 (http://propertymap.sfplanning.org/?search=2013.1404),,08/31/2017,On-site BMR Project; Fee Payment,201502198775,35,1,34,3,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.752323,-122.4209212,"(37.752323, -122.4209212)"
2016-047,(5) First Construction Document Issued,"Block 48, Phase 2 (Blocks M, N1, N2, O, P)",869,La Salle,Ave,94124,4591D,5,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,04/27/2017,06/30/2021,04/01/2021,,Lennar,,,Not Applicable,,,03/03/2015,,201602179819,87,11,76,13,0,0,3,7,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,37.7280824,-122.3737082,"(37.7280824, -122.3737082)"
2017-030,(3) Design with Entitlements Approved,2670 Geary,2670,Geary,Blvd,94118,1071,3,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/29/2019,,,,,2014-002181PRJ,2014-002181PRJ (http://propertymap.sfplanning.org/?search=2014-002181PRJ),,11/30/2017,,201712146446,95,22,73,23,0,15,0,7,0,0,0,,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,37.7828725,-122.4476658,"(37.7828725, -122.4476658)"
2020-024,(3) Design with Entitlements Approved,98 Franklin,98,Franklin,St,94102,836,13,6,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,05/27/2022,,,,,2016-014802PRJ,2016-014802PRJ (http://propertymap.sfplanning.org/?search=2016-014802PRJ),,,,202102184905,345,69,276,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,37.7750809,-122.420623,"(37.7750809, -122.420623)"
2023-002,(1) Preliminary Phase,Treasure Island IC4.3,,,,,,,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,The John Stewart Company,Catholic Charities,,,  (http://propertymap.sfplanning.org/?search=),,,,,100,99,1,99,0,0,0,0,0,0,0,,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2014-006,(4) Site Work Permit Issued,2601 Van Ness,2601,Van Ness,Ave,94109,522,002A,2,Marina,Marina,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,10/03/2016,,"Van Ness Terraces, LLC",,,2018-000908PRJ,2018-000908PRJ (http://propertymap.sfplanning.org/?search=2018-000908PRJ),,12/04/2018,On-site BMR Project,,60,18,42,30,0,0,11,7,0,0,0,,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,0,0,37.7997547,-122.4247708,"(37.7997547, -122.4247708)"
